county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1077.0,3.5602219,8.262751,0.3680657,0.0,6.2055821,1.0,0.0,1.0,3.0,0.11446319,0.091100636,1.0,0.028350614,0.15096182
1078.0,1.9487632,7.402124,0.0,0.0,6.3627312,1.0,0.0,0.0,1.0,0.093241475,0.053034036,0.0,0.049188368,0.075188367
1079.0,3.0890405,7.842864,0.2519637,0.0,6.0339513,1.0,0.0,1.0,4.0,0.069488566,0.069488566,1.0,0.087835508,0.20337646
1080.0,3.767136,7.925699,0.6558751,0.0,6.2241583,1.0,0.0,1.0,1.0,0.15618852,0.11693698,1.0,0.037208724,0.10460564
1081.0,2.3103548,8.043533,0.0,0.0,6.2901721,1.0,0.0,0.0,1.0,0.1562116,0.12519623,0.0,0.0,0.022822401
1082.0,1.6780307,8.012348,0.0,0.0,6.3787216,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05295943,0.15737286
1083.0,2.6282852,7.375175,0.0,0.0,6.3400249,1.0,0.0,0.0,3.0,0.23154665,0.14267936,0.0,0.033981557,0.055735607
1084.0,3.4383005,8.681952,0.2208915,0.0,6.4199941,1.0,1.0,1.0,9.0,0.046917437,0.07221119,0.0,0.044603618,0.21636013
1086.0,2.5409719,7.534503,0.2324545,0.0,6.370746,1.0,0.0,0.0,3.0,0.026629851,0.026629851,0.0,0.0,0.021258124
1087.0,4.0214512,8.710816,0.4019069,0.0,6.2899831,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.075395398,0.17020518
1089.0,2.7539791,7.471208,0.1637318,0.0,6.3182325,1.0,0.0,0.0,6.0,0.020947481,0.020947481,0.0,0.048987226,0.17377047
1090.0,3.0876275,8.544014,0.2894904,0.0,6.4132775,1.0,0.0,1.0,4.0,0.020659392,0.020659392,1.0,0.094533378,0.049093391
1091.0,2.7927589,8.295061,0.0,0.0,6.2381982,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.056620807,0.23188384
1092.0,3.3834407,8.492431,0.5748162,0.0,6.308231,1.0,1.0,1.0,2.0,0.11884875,0.096198016,0.0,0.0,0.0
1093.0,3.3611737,8.607001,0.4033956,0.0,6.2446848,1.0,0.0,1.0,3.0,0.11856973,0.093008561,1.0,0.0,0.0
